"GeneName"	"log2FC"	"pvalue"	"padj"
"OLFML3"	"-0.780536196879602"	"0.00329442005595074"	"0.174503069175275"
"RAB27B"	"-0.546124751659562"	"0.00328844451949011"	"0.174503069175275"
"P2RX4"	"-0.498375136915174"	"0.00331554997286287"	"0.175024950948407"
"FAHD2A"	"-0.384085850847743"	"0.00335594184436973"	"0.176263007352947"
"NEK8"	"-0.301822468745285"	"0.0033617171505459"	"0.176263007352947"
"CYB5D1"	"0.473400955817915"	"0.00339669335845513"	"0.177497242165736"
"BCOR"	"0.375650149014939"	"0.00346378106911542"	"0.179192940642238"
"HSD17B7P2"	"-0.423264421112352"	"0.00345966641514589"	"0.179192940642238"
"SLC25A51"	"-0.339478174620587"	"0.00346356780873579"	"0.179192940642238"
"PLXDC2"	"0.698135978582486"	"0.00352968952899968"	"0.180199939112089"
"PRPF40B"	"-0.264755582890334"	"0.00351511543269196"	"0.180199939112089"
"RAB36"	"0.636394426429212"	"0.00352177452957351"	"0.180199939112089"
"SCIN"	"0.665678958304052"	"0.00350563315277102"	"0.180199939112089"
"LARS"	"0.278024917646164"	"0.00361456016340272"	"0.183927782741017"
"C6orf132"	"-0.748180503383655"	"0.00364027903619298"	"0.184631145887958"
"MT1F"	"0.868992956918963"	"0.00368667517657462"	"0.186375240196867"
"KCNJ3"	"0.456415183437093"	"0.00370515924554528"	"0.186701530814489"
"NIT1"	"-0.250593884731302"	"0.00378415911531432"	"0.190065208639735"
"FZD4"	"0.453412488414085"	"0.00381304710912665"	"0.190721346727699"
"ICAM1"	"-0.718788955466712"	"0.00382180018249449"	"0.190721346727699"
"UBE3C"	"0.310366057179812"	"0.00383412678743388"	"0.190723229939019"
"SDHB"	"0.312092035941494"	"0.00392387560775077"	"0.194564055694224"
"NUPL2"	"0.356044112584044"	"0.00394683849862191"	"0.194628221991346"
"SCARNA2"	"0.292007293047121"	"0.00395025063964394"	"0.194628221991346"
"ACSS1"	"0.844988964498388"	"0.00402677899417724"	"0.194847578012367"
"APOLD1"	"-0.404698243216498"	"0.00399981238201996"	"0.194847578012367"
"LRP4"	"1.00856373158185"	"0.00403003044729187"	"0.194847578012367"
"NREP"	"-0.8951965060468"	"0.00397765746171455"	"0.194847578012367"
"PSAP"	"-0.369192256164641"	"0.00401626122140421"	"0.194847578012367"
"SPECC1"	"-0.413160514584333"	"0.00401624459813039"	"0.194847578012367"
"C1R"	"-0.298683248503772"	"0.00404878816758893"	"0.195146560127267"
"C9orf3"	"-0.671180026156653"	"0.00406522494085361"	"0.195332170532656"
"GJA1"	"-1.29377934067343"	"0.00408326295091135"	"0.195593336414025"
"TSTD1"	"-0.566176494360591"	"0.00410384162397315"	"0.195974221550964"
